  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
125660 99999 201701040230 220  20 ***  23 *** * * *  6.2 71 ** ** ** ** ** ** ** *   32   28 ****** 29.62 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040300 230  20 ***  23 OVC * * *  3.8 73 ** ** ** ** ** ** ** 7   32   28 1004.1 *****  974.3 *** *** ***** ***** ***** ***** ** 
125660 99999 201701040330 220  21 ***  17 *** * * *  2.2 73 ** ** ** ** ** ** ** *   32   28 ****** 29.59 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040400 220  16 ***  12 OVC * * *  1.1 75 ** ** ** ** ** ** ** 7   31   30 1003.1 *****  973.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701040430 220  17 ***  10 *** * * *  1.0 75 ** ** ** ** ** ** ** *   30   30 ****** 29.56 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040500 220  20 ***   8 OVC * * *  2.2 71 ** ** ** ** ** ** ** 7   31   31 1002.3 *****  972.4 *** *** ***** ***** ***** ***** ** 
125660 99999 201701040530 230  21 ***   8 *** * * *  3.8 71 ** ** ** ** ** ** ** *   32   30 ****** 29.53 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040600 230  20  34  15 OVC * * *  5.0 71 ** ** ** ** ** ** ** 7   32   30 1001.4 *****  971.6  34  31 ***** *****  0.08 *****  0 
125660 99999 201701040630 230  20 ***  20 *** * * *  6.2 ** ** ** ** ** ** ** ** *   32   28 ****** 29.50 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040700 240  20  27  15 OVC * * *  3.8 73 ** ** ** ** ** ** ** 7   34   32 1000.6 *****  970.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701040730 230  21 ***  40 *** * * *  6.2 71 ** ** ** ** ** ** ** *   36   28 ****** 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040800 230  26  36  40 *** * * *  6.2 71 ** ** ** ** ** ** ** 7   36   28 1000.2 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040830 230  24 ***  40 *** * * *  5.0 71 ** ** ** ** ** ** ** *   36   28 ****** 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040900 240  25 ***  26 OVC * * *  3.8 71 ** ** ** ** ** ** ** 7   35   30 1000.3 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701040930 240  28 ***  21 *** * * *  6.2 71 ** ** ** ** ** ** ** *   36   30 ****** 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041000 240  25  40  20 *** * * *  5.0 71 ** ** ** ** ** ** ** 7   34   30  999.7 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041030 240  21 ***  20 *** * * *  5.0 71 ** ** ** ** ** ** ** *   34   30 ****** 29.47 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041100 240  25 ***  33 BKN * * * 25.0 22 ** ** ** ** ** ** ** 7   36   29  999.1 *****  969.6 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041130 240  25 ***  50 *** * * *  6.2 ** ** ** ** ** ** ** ** *   36   28 ****** 29.44 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041200 230  25  40  53 BKN * * *  6.2 03 ** ** ** ** ** ** ** 7   36   29  998.5 *****  969.0 *** *** *****  0.00 ***** ***** ** 
125660 99999 201701041230 230  28 ***  44 *** * * *  6.2 ** ** ** ** ** ** ** ** *   37   28 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041300 230  25  36  26 OVC * * *  4.4 85 ** ** ** ** ** ** ** 2   36   29  997.9 *****  968.5 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041330 230  28 ***  26 *** * * *  5.0 85 ** ** ** ** ** ** ** *   36   28 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041400 230  22  34  23 BKN * * * 18.8 26 ** ** ** ** ** ** ** 8   35   30  997.7 *****  968.2 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041430 240  26 ***  23 *** * * *  6.2 85 ** ** ** ** ** ** ** *   34   30 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041500 240  25 ***  26 *** * * *  4.4 85 ** ** ** ** ** ** ** 8   35   28  997.6 *****  968.1 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041530 240  23 ***  14 *** * * *  3.8 85 ** ** ** ** ** ** ** *   36   30 ****** 29.41 ****** *** *** ***** ***** ***** ***** ** 
125660 99999 201701041600 240  27  40  26 BKN * * *  9.4 85 ** ** ** ** ** ** ** 8   35   30  997.4 *****  967.9 *** *** ***** ***** ***** ***** ** 
125660 99999 201701041630 240  29 ***  50 *** * * *  6.2 71 ** ** ** ** ** ** ** *   36   28 ****** 29.38 ****** *** *** ***** ***** ***** ***** ** 
